Дата, дд.мм.гг	 Время, чч:мм:сс	               + мкс	  Время со старта, с	        Номер каналa	Тип информации  (АЭ)	      Амплитуда, АЦП	       Амплитуда, дБ	      Амплитуда, мкВ	  Ампл./Выбросы, мкВ	   Энергия*1e-24, Дж	         Энергия, дБ	      Энергия, MARSE	   Длительность, мкс	Время нарастания,мкс	      Число выбросов	Выбросы/Длительн,кГц	    Аппаратные флаги
06.10.23	            11:57:24	              350969	                  11	                  02	                (АЭ)	                  25	                37.7	                76.5	                38.2	            14704085	                71.7	           3834590.6	                   3	                   2	                   2	                 666	                 ---
06.10.23	            11:57:24	              350980	                  11	                  03	                (АЭ)	                  28	                38.7	                85.7	                28.6	            41278342	                76.2	           6424822.3	                 173	                 170	                   3	                  17	                 ---
06.10.23	            11:57:24	              350151	                  11	                  08	                (АЭ)	                  27	                38.3	                82.6	                13.8	            86979643	                79.4	           9326287.7	                1512	                1015	                   6	                   3	                 ---
06.10.23	            11:57:24	              351034	                  11	                  01	                (АЭ)	                  24	                37.3	                73.4	                24.5	            37417878	                75.7	           6117015.5	                 373	                 348	                   3	                   8	                 ---
06.10.23	            11:57:24	              352108	                  11	                  03	                (АЭ)	                  21	                36.2	                64.2	                64.2	            16806126	                72.3	           4099527.5	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              352227	                  11	                  01	                (АЭ)	                  21	                36.2	                64.2	                32.1	            27422447	                74.4	           5236644.6	                 256	                   1	                   2	                   7	                 ---
06.10.23	            11:57:24	              352814	                  11	                  07	                (АЭ)	                  23	                36.9	                70.4	                70.4	            15656240	                71.9	           3956796.7	                   3	                   1	                   1	                 333	                 ---
06.10.23	            11:57:24	              354529	                  11	                  03	                (АЭ)	                  21	                36.2	                64.2	                64.2	            15226343	                71.8	           3902094.7	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              353161	                  11	                  10	                (АЭ)	                  22	                36.6	                67.3	                67.3	            12513239	                71.0	           3537405.7	                   2	                   2	                   1	                 500	                 ---
06.10.23	            11:57:24	              353456	                  11	                  13	                (АЭ)	                  21	                36.2	                64.2	                64.2	            14818999	                71.7	           3849545.3	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              354927	                  11	                  11	                (АЭ)	                  21	                36.2	                64.2	                64.2	            11166091	                70.5	           3341570.2	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:27	              937896	                  14	                  02	                (АЭ)	                2670	                78.2	              8167.7	                 3.2	        529326694194	               117.2	         727548413.6	               32000	                 774	                2561	                  80	                 -D-
06.10.23	            11:57:27	              937796	                  14	                  06	                (АЭ)	                7310	                87.0	             22361.7	                10.6	        609999022304	               117.9	         781024341.7	               32000	                  34	                2108	                  65	                 -D-
06.10.23	            11:57:27	              937921	                  14	                  01	                (АЭ)	                1835	                75.0	              5613.4	                 2.5	        522766850494	               117.2	         723026175.5	               32000	                1016	                2278	                  71	                 -D-
06.10.23	            11:57:27	              969871	                  14	                  06	                (АЭ)	                  38	                41.3	               116.2	                 1.5	           551485818	                87.4	          23483735.2	                5737	                 512	                  75	                  13	                 ---
06.10.23	            11:57:27	              969953	                  14	                  02	                (АЭ)	                  25	                37.7	                76.5	                19.1	            54558639	                77.4	           7386382.0	                 595	                 596	                   4	                   6	                 ---
06.10.23	            11:57:27	              976369	                  14	                  06	                (АЭ)	                  23	                36.9	                70.4	                 7.8	           110979758	                80.5	          10534693.1	                1596	                 792	                   9	                   5	                 ---
06.10.23	            11:57:27	              971240	                  14	                  02	                (АЭ)	                  29	                39.0	                88.7	                 6.8	           107734008	                80.3	          10379499.4	                1527	                 351	                  13	                   8	                 ---
06.10.23	            11:57:27	              983846	                  14	                  06	                (АЭ)	                  21	                36.2	                64.2	                64.2	             9902041	                70.0	           3146750.8	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:27	              974132	                  14	                  02	                (АЭ)	                  21	                36.2	                64.2	                64.2	            20885561	                73.2	           4570072.4	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:27	              974730	                  14	                  02	                (АЭ)	                  23	                36.9	                70.4	                70.4	            22676643	                73.6	           4761999.9	                   2	                   2	                   1	                 500	                 ---
06.10.23	            11:57:27	              969967	                  14	                  01	                (АЭ)	                  41	                42.0	               125.4	                 1.7	           522342099	                87.2	          22854804.7	                5527	                 256	                  74	                  13	                 ---
06.10.23	            11:57:27	              976917	                  14	                  01	                (АЭ)	                  24	                37.3	                73.4	                36.7	            27514808	                74.4	           5245455.9	                 206	                   1	                   2	                   9	                 ---
06.10.23	            11:57:27	              977585	                  14	                  02	                (АЭ)	                  22	                36.6	                67.3	                67.3	            12871081	                71.1	           3587628.9	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:27	              977851	                  14	                  01	                (АЭ)	                  22	                36.6	                67.3	                16.8	            41846453	                76.2	           6468883.4	                 380	                   1	                   4	                  10	                 ---
06.10.23	            11:57:27	              937848	                  14	                  15	                (АЭ)	                8950	                88.7	             27378.5	                11.1	        962817022758	               119.8	         981232400.0	               32000	                  69	                2467	                  77	                 -D-
06.10.23	            11:57:27	              969927	                  14	                  15	                (АЭ)	                  36	                40.8	               110.1	                 3.1	           312362614	                84.9	          17673783.3	                3517	                  76	                  36	                  10	                 ---
06.10.23	            11:57:27	              974269	                  14	                  15	                (АЭ)	                  27	                38.3	                82.6	                27.5	            55137886	                77.4	           7425488.9	                 940	                 939	                   3	                   3	                 ---
